Year,Series,Place of Residence,Zone,Units,Value
2016,Proportion of births attended by skilled health personnel,,,Percentage %,43
2016,Proportion of births attended by skilled health personnel,Urban,,Percentage %,67.1
2016,Proportion of births attended by skilled health personnel,Rural,,Percentage %,32.9
2016,Proportion of births attended by skilled health personnel,,North Central,Percentage %,50.3
2016,Proportion of births attended by skilled health personnel,,North East,Percentage %,34
2016,Proportion of births attended by skilled health personnel,,North West,Percentage %,23.6
2016,Proportion of births attended by skilled health personnel,,South East,Percentage %,90.7
2016,Proportion of births attended by skilled health personnel,,South South,Percentage %,64
2016,Proportion of births attended by skilled health personnel,,South West,Percentage %,82.7
2022,Proportion of births attended by skilled health personnel,,,Percentage %,50.7
2022,Proportion of births attended by skilled health personnel,Urban,,Percentage %,77.3
2022,Proportion of births attended by skilled health personnel,Rural,,Percentage %,35.5
2022,Proportion of births attended by skilled health personnel,,North Central,Percentage %,59.3
2022,Proportion of births attended by skilled health personnel,,North East,Percentage %,35.4
2022,Proportion of births attended by skilled health personnel,,North West,Percentage %,24.2
2022,Proportion of births attended by skilled health personnel,,South East,Percentage %,92.8
2022,Proportion of births attended by skilled health personnel,,South South,Percentage %,63.7
2022,Proportion of births attended by skilled health personnel,,South West,Percentage %,79.7
