Year,Series,Zones,Facility Type,Units,Value
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type ,,PHF,Percentage %,29.7
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,PHF,Percentage %,30.6
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,PHF,Percentage %,36.7
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,PHF,Percentage %,23.5
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,PHF,Percentage %,20.8
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,PHF,Percentage %,32.2
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,,SHF,Percentage %,57.4
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,SHF,Percentage %,71.4
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,SHF,Percentage %,47.2
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,SHF,Percentage %,52.4
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,SHF,Percentage %,43.3
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,SHF,Percentage %,57.9
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,,,Percentage %,32.9
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,,Percentage %,38.1
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,,Percentage %,38
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,,Percentage %,28
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,,Percentage %,22.8
2016,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,,Percentage %,33.8
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,,PHF,Percentage %,34.3
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,PHF,Percentage %,38.8
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,PHF,Percentage %,25.4
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,PHF,Percentage %,30.1
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,PHF,Percentage %,44.9
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,PHF,Percentage %,37.2
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,,SHF,Percentage %,50.6
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,SHF,Percentage %,53.8
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,SHF,Percentage %,46
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,SHF,Percentage %,57.8
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,SHF,Percentage %,53
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,SHF,Percentage %,38.7
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,,,Percentage %,35
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North Central,,Percentage %,39.4
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North East,,Percentage %,26.1
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,North West,,Percentage %,30.8
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South East,,Percentage %,45.1
2023,Average Proportion of Essential Drugs Available in Health Facilities by Zone and by Facility type,South South,,Percentage %,37.3
